peak_id,peak_name,height_metres,climbing_status,first_ascent_year,first_ascent_country,first_ascent_expedition_id
NAN2,Nangamari II,6209,Climbed,2016,Japan,NAN216301
DRAG,Dragmorpa Ri,6185,Climbed,2013,Russia,DRAG13101
SYKG,Syaokang,5929,Climbed,2012,New Zealand,SYKG12301
BIJO,Bijora Hiunchuli,6111,Unclimbed,NA,NA,NA
CHUB,Chhuboche,5606,Climbed,2013,UK,CHUB13301
LUNW,Lunag West,6492,Climbed,2013,USA,LUNW13301
DOMO,Domo,7447,Climbed,1930,"Germany, Nepal",DOMO30101
LUN2,Lunag II,6812,Climbed,2010,France,LUN210301
TRIA,Triangle Peak,6484,Climbed,2013,France,TRIA13301
KASI,Kasi Dalpha,6386,Unclimbed,NA,NA,NA
NPHU,Narphu,5921,Climbed,2014,"UK, Nepal",NPHU14301
POTA,Pota Himal North,6182,Climbed,2008,France,POTA08101
PANN,Pangbuk North,6478,Climbed,2013,USA,PANN13301
MUST,Mustang Himal,6195,Climbed,2014,USA,MUST14301
MNSL,Mansail,6235,Climbed,2014,Japan,MNSL14301
CPHU,Chhochenphu Himal,6260,Unclimbed,NA,NA,NA
TANK,Tankya I,6305,Unclimbed,NA,NA,NA
GORK,Gorakh Khang,6254,Unclimbed,NA,NA,NA
RAUN,Raungsiyar,6224,Climbed,2015,Nepal,RAUN15301
LDAK,Langdak,6220,Climbed,2015,Nepal,LDAK15301
TKRE,Takargo East,6152,Climbed,2015,Nepal,TKRE15301
OMIT,Omitso Go,6332,Unclimbed,NA,NA,NA
CBAM,Chhopa Bamare,6109,Climbed,2019,"USA, France",CBAM18401
YALW,Yalung Kang West,8077,Unclimbed,NA,NA,NA
KANN,Kangchenjunga North,7938,Unclimbed,NA,NA,NA
KBNE,Kangbachen East,7780,Unclimbed,NA,NA,NA
HERZ,Herzog Peak,7555,Climbed,NA,NA,NA
GANW,Gangapurna West,7140,Unclimbed,NA,NA,NA
CHMR,Chamar,7161,Unclimbed,NA,NA,NA
NGAP,Nepal Gap Peak,7007,Unclimbed,NA,NA,NA
GAUS,Gaurishankar South,7010,Climbed,1979,UK,GAUS79301
BURK,Burke Kang,6942,Climbed,2017,"Ireland, Nepal",BURK17301
HMLE,Himlung East,6932,Climbed,2017,"France, Nepal",HMLE17101
YNGS,Yangra Kangri South,6863,Unclimbed,NA,NA,NA
NUPL,Nup La Kang,6861,Climbed,2018,"USA, Norway",NUPL18301
CHUM,Chumbu,6859,Unclimbed,NA,NA,NA
PHUG,Phu Kang Go,6767,Climbed,2011,"France, Belgium",PHUG11301
GURA,Guras,6744,Unclimbed,NA,NA,NA
THRK,Tharke Kang,6710,Climbed,2017,"USA, Nepal",THRK17301
HUGO,Hulang Go,6687,Unclimbed,NA,NA,NA
SHNW,Shershon Northwest,6682,Climbed,1980,"UK, France",SHNW80301
AGLE,Agole East,6675,Unclimbed,NA,NA,NA
ROLK,Rolwaling Kang,6664,Climbed,2016,Japan,ROLK16301
YARW,Yarwa,6644,Unclimbed,NA,NA,NA
